1.01.02.2.01	Pengelolaan Pendidikan Sekolah Dasar
1.01.02.2.02	Pengelolaan Pendidikan Sekolah Menengah Pertama
1.01.02.2.03	Pengelolaan Pendidikan Anak Usia Dini (PAUD)
1.01.02.2.04	Pengelolaan Pendidikan Nonformal/Kesetaraan
1.01.04.2.01	Pemerataan Kuantitas dan Kualitas Pendidik dan Tenaga Kependidikan bagi Satuan Pendidikan Dasar, PAUD, dan Pendidikan Nonformal/Kesetaraan
1.01.01.2.01	Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah
1.01.01.2.02	Administrasi Keuangan Perangkat Daerah
1.01.01.2.06	Administrasi Umum Perangkat Daerah
1.01.01.2.07	Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah
1.01.01.2.08	Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah
1.01.01.2.09	Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah
2.19.02.2.01	Penyadaran, Pemberdayaan, dan Pengembangan Pemuda dan Kepemudaan Terhadap Pemuda Pelopor Kabupaten/Kota, Wirausaha Muda Pemula, dan Pemuda Kader Kabupaten/Kota
2.19.02.2.02	Pemberdayaan dan Pengembangan Organisasi Kepemudaan Tingkat Daerah Kabupaten/Kota
2.19.03.2.02	Penyelenggaraan Kejuaraan Olahraga Tingkat Daerah Kabupaten/Kota
2.19.03.2.03	Pembinaan dan Pengembangan Olahraga Prestasi Tingkat Daerah Provinsi
2.19.03.2.04	Pembinaan dan Pengembangan Organisasi Olahraga
2.19.04.2.01	Pembinaan dan Pengembangan Organisasi Kepramukaan
1.02.02.2.01	Penyediaan Fasilitas Pelayanan Kesehatan untuk UKM dan UKP Kewenangan Daerah Kabupaten/Kota
1.02.02.2.02	Penyediaan Layanan Kesehatan untuk UKM dan UKP Rujukan Tingkat Daerah Kabupaten/Kota
1.02.02.2.03	Penyelenggaraan Sistem Informasi Kesehatan Secara Terintegrasi
1.02.02.2.04	Penerbitan Izin Rumah Sakit Kelas C, D dan Fasilitas Pelayanan Kesehatan Tingkat Daerah Kabupaten/Kota
1.02.03.2.02	Perencanaan Kebutuhan dan Pendayagunaan Sumber Daya Manusia Kesehatan untuk UKP dan UKM di Wilayah Kabupaten/Kota
1.02.03.2.03	Pengembangan Mutu dan Peningkatan Kompetensi Teknis Sumber Daya Manusia Kesehatan Tingkat Daerah Kabupaten/Kota
1.02.04.2.03	Penerbitan Sertifikat Produksi Pangan Industri Rumah Tangga dan Nomor P-IRT sebagai Izin Produksi, untuk Produk Makanan Minuman Tertentu yang Dapat Diproduksi oleh Industri Rumah Tangga
1.02.04.2.04	Penerbitan Sertifikat Laik Higiene Sanitasi Tempat Pengelolaan Makanan (TPM) antara lain Jasa Boga, Rumah Makan/Restoran dan Depot Air Minum (DAM)
1.02.05.2.01	Advokasi, Pemberdayaan, Kemitraan, Peningkatan Peran serta Masyarakat dan Lintas Sektor Tingkat Daerah Kabupaten/Kota
1.02.05.2.02	Pelaksanaan Sehat dalam rangka Promotif Preventif Tingkat Daerah Kabupaten/Kota
1.02.05.2.03	Pengembangan dan Pelaksanaan Upaya Kesehatan Bersumber Daya Masyarakat (UKBM) Tingkat Daerah Kabupaten/Kota
1.02.01.2.01	Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah
1.02.01.2.02	Administrasi Keuangan Perangkat Daerah
1.02.01.2.03	Administrasi Barang Milik Daerah pada Perangkat Daerah
1.02.01.2.05	Administrasi Kepegawaian Perangkat Daerah
1.02.01.2.06	Administrasi Umum Perangkat Daerah
1.02.01.2.07	Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah
1.02.01.2.08	Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah
1.02.01.2.09	Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah
1.02.01.2.10	Peningkatan Pelayanan BLUD
1.03.02.2.01	Pengelolaan SDA dan Bangunan Pengaman Pantai pada Wilayah Sungai (WS) dalam 1 (Satu) Daerah Kabupaten/Kota
1.03.02.2.02	Pengembangan dan Pengelolaan Sistem Irigasi Primer dan Sekunder pada Daerah Irigasi yang Luasnya di Bawah 1000 Ha dalam 1 (Satu) Daerah Kabupaten/Kota
1.03.03.2.01	Pengelolaan dan Pengembangan Sistem Penyediaan Air Minum (SPAM) di Daerah Kabupaten/Kota
1.03.05.2.01	Pengelolaan dan Pengembangan Sistem Air Limbah Domestik dalam Daerah Kabupaten/Kota
1.03.08.2.01	Penyelenggaraan Bangunan Gedung di Wilayah Daerah Kabupaten/Kota, Pemberian Izin Mendirikan Bangunan (IMB) dan Sertifikat Laik Fungsi Bangunan Gedung
1.03.10.2.01	Penyelenggaraan Jalan Kabupaten/Kota
1.03.11.2.01	Penyelenggaraan Pelatihan Tenaga Terampil Konstruksi
1.03.12.2.01	Penetapan Rencana Tata Ruang Wilayah (RTRW) dan Rencana Rinci Tata Ruang (RRTR) Kabupaten/Kota
1.03.12.2.02	Koordinasi dan Sinkronisasi Perencanaan Tata Ruang Daerah Kabupaten/Kota
1.03.12.2.03	Koordinasi dan Sinkronisasi Pemanfaatan Ruang Daerah Kabupaten/Kota
1.03.12.2.04	Koordinasi dan Sinkronisasi Pengendalian Pemanfaatan Ruang Daerah Kabupaten/Kota
1.03.01.2.01	Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah
1.03.01.2.02	Administrasi Keuangan Perangkat Daerah
1.03.01.2.05	Administrasi Kepegawaian Perangkat Daerah
1.03.01.2.06	Administrasi Umum Perangkat Daerah
1.03.01.2.07	Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah
1.03.01.2.08	Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah
1.03.01.2.09	Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah
1.04.02.2.01	Pendataan Penyediaan dan Rehabilitasi Rumah Korban Bencana atau Relokasi Program Kabupaten/Kota
1.04.02.2.02	Sosialisasi dan Persiapan Penyediaan dan Rehabilitasi Rumah Korban Bencana atau Relokasi Program Kabupaten/Kota
1.04.02.2.03	Pembangunan dan Rehabilitasi Rumah Korban Bencana atau Relokasi Program Kabupaten/Kota
1.04.03.2.01	Penerbitan Izin Pembangunan dan Pengembangan Kawasan Permukiman
1.04.03.2.02	Penataan dan Peningkatan Kualitas Kawasan Permukiman Kumuh dengan Luas di Bawah 10 (Sepuluh) Ha
1.04.03.2.03	Peningkatan Kualitas Kawasan Permukiman Kumuh dengan Luas di Bawah 10 (Sepuluh) Ha
1.04.04.2.01	Pencegahan Perumahan dan Kawasan Permukiman Kumuh pada Daerah Kabupaten/Kota
1.04.05.2.01	Urusan Penyelenggaraan PSU Perumahan
1.04.06.2.01	Sertifikasi dan Registrasi bagi Orang atau Badan Hukum yang Melaksanakan Perancangan dan Perencanaan Rumah serta Perencanaan Prasarana, Sarana dan Utilitas Umum PSU Tingkat Kemampuan Kecil
1.04.01.2.01	Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah
1.04.01.2.02	Administrasi Keuangan Perangkat Daerah
1.04.01.2.06	Administrasi Umum Perangkat Daerah
1.04.01.2.07	Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah
1.04.01.2.08	Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah
1.04.01.2.09	Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah
2.10.10.2.01	Penggunaan Tanah yang Hamparannya dalam satu Daerah Kabupaten/Kota
2.11.02.2.01	Rencana Perlindungan dan Pengelolaan Lingkungan Hidup (RPPLH) Kabupaten/Kota
2.11.02.2.02	Penyelenggaraan Kajian Lingkungan Hidup Strategis (KLHS) Kabupaten/Kota
2.11.03.2.01	Pencegahan Pencemaran dan/atau Kerusakan Lingkungan Hidup Kabupaten/Kota
2.11.04.2.01	Pengelolaan Keanekaragaman Hayati Kabupaten/Kota
2.11.06.2.01	Pembinaan dan Pengawasan Terhadap Usaha dan/atau Kegiatan yang Izin Lingkungan dan Izin PPLH Diterbitkan oleh Pemerintah Daerah Kabupaten/Kota
2.11.08.2.01	Penyelenggaraan Pendidikan, Pelatihan, dan Penyuluhan Lingkungan Hidup untuk Lembaga Kemasyarakatan Tingkat Daerah Kabupaten/Kota
2.11.09.2.01	Pemberian Penghargaan Lingkungan Hidup Tingkat Daerah Kabupaten/Kota 
2.11.11.2.01	Pengelolaan Sampah
1.05.02.2.01	Penanganan Gangguan Ketenteraman dan Ketertiban Umum dalam 1 (Satu) Daerah Kabupaten/Kota
1.05.02.2.02	Penegakan Peraturan Daerah Kabupaten/Kota dan Peraturan Bupati/Wali Kota
1.05.02.2.03	Pembinaan Penyidik Pegawai Negeri Sipil (PPNS) Kabupaten/Kota
1.05.04.2.01	Pencegahan, Pengendalian, Pemadaman, Penyelamatan, dan Penanganan Bahan Berbahaya dan Beracun Kebakaran dalam Daerah Kabupaten/Kota
1.05.04.2.02	Inspeksi Peralatan Proteksi Kebakaran
1.05.04.2.04	Pemberdayaan Masyarakat dalam Pencegahan Kebakaran
1.05.04.2.05	Penyelenggaraan Operasi Pencarian dan Pertolongan Terhadap Kondisi Membahayakan Manusia
1.05.01.2.01	Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah
1.05.01.2.02	Administrasi Keuangan Perangkat Daerah
1.05.01.2.05	Administrasi Kepegawaian Perangkat Daerah
1.05.01.2.06	Administrasi Umum Perangkat Daerah
1.05.01.2.07	Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah
1.05.01.2.08	Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah
1.05.01.2.09	Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah
1.05.03.2.01	Pelayanan Informasi Rawan Bencana Kabupaten/Kota
1.05.03.2.02	Pelayanan Pencegahan dan Kesiapsiagaan Terhadap Bencana
1.05.03.2.03	Pelayanan Penyelamatan dan Evakuasi Korban Bencana
1.05.03.2.04	Penataan Sistem Dasar Penanggulangan Bencana
1.06.02.2.02	Pengumpulan Sumbangan dalam Daerah Kabupaten/Kota
1.06.02.2.03	Pengembangan Potensi Sumber Kesejahteraan Sosial Daerah Kabupaten/Kota
1.06.04.2.01	Rehabilitasi Sosial Dasar Penyandang Disabilitas Terlantar, Anak Terlantar, Lanjut Usia Terlantar, serta Gelandangan Pengemis di Luar Panti Sosial
1.06.04.2.02	Rehabilitasi Sosial Penyandang Masalah Kesejahteraan Sosial (PMKS) Lainnya Bukan Korban HIV/AIDS dan NAPZA di Luar Panti Sosial
1.06.05.2.02	Pengelolaan Data Fakir Miskin Cakupan Daerah Kabupaten/Kota
1.06.06.2.01	Perlindungan Sosial Korban Bencana Alam dan Sosial Kabupaten/Kota
1.06.06.2.02	Penyelenggaraan Pemberdayaan Masyarakat Terhadap Kesiapsiagaan Bencana Kabupaten/Kota
1.06.07.2.01	Pemeliharaan Taman Makam Pahlawan Nasional Kabupaten/Kota
2.08.02.2.01	Pelembagaan Pengarusutamaan Gender (PUG) pada Lembaga Pemerintah Kewenangan Kabupaten/Kota
2.08.02.2.02	Pemberdayaan Perempuan Bidang Politik, Hukum, Sosial, dan Ekonomi pada Organisasi Kemasyarakatan Kewenangan Kabupaten/Kota
2.08.03.2.02	Penyediaan Layanan Rujukan Lanjutan bagi Perempuan Korban Kekerasan yang Memerlukan Koordinasi Kewenangan Kabupaten/Kota
2.08.04.2.02	Penguatan dan Pengembangan Lembaga Penyedia Layanan Peningkatan Kualitas Keluarga dalam Mewujudkan KG dan Hak Anak yang Wilayah Kerjanya dalam Daerah Kabupaten/Kota
2.08.05.2.01	Pengumpulan, Pengolahan Analisis dan Penyajian Data Gender dan Anak Dalam Kelembagaan Data di Tingkat Daerah Kabupaten/Kota
2.08.06.2.01	Pelembagaan PHA pada Lembaga Pemerintah, Nonpemerintah, dan Dunia Usaha Kewenangan Kabupaten/Kota
2.08.06.2.02	Penguatan dan Pengembangan Lembaga Penyedia Layanan Peningkatan Kualitas Hidup Anak Kewenangan Kabupaten/Kota
2.08.07.2.01	Pencegahan Kekerasan Terhadap Anak yang Melibatkan para Pihak Lingkup Daerah Kabupaten/Kota
2.08.07.2.02	Penyediaan Layanan bagi Anak yang Memerlukan Perlindungan Khusus yang Memerlukan Koordinasi Tingkat Daerah Kabupaten/Kota
2.08.01.2.01	Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah
2.08.01.2.02	Administrasi Keuangan Perangkat Daerah
2.08.01.2.06	Administrasi Umum Perangkat Daerah
2.08.01.2.07	Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah
2.08.01.2.08	Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah
2.08.01.2.09	Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah
2.07.02.2.01	Penyusunan Rencana Tenaga Kerja (RTK)
2.07.03.2.01	Pelaksanaan Pelatihan berdasarkan Unit Kompetensi
2.07.03.2.02	Pembinaan Lembaga Pelatihan Kerja Swasta
2.07.03.2.04	Konsultansi Produktivitas pada Perusahaan Kecil
2.07.04.2.03	Pengelolaan Informasi Pasar Kerja
2.07.05.2.01	Pengesahan Peraturan Perusahaan dan Pendaftaran Perjanjian Kerja Bersama untuk Perusahaan yang Hanya Beroperasi dalam 1 (Satu) Daerah Kabupaten/Kota
2.07.05.2.02	Pencegahan dan Penyelesaian Perselisihan Hubungan Industrial, Mogok Kerja dan Penutupan Perusahaan di Daerah Kabupaten/Kota
2.07.01.2.01	Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah
2.07.01.2.02	Administrasi Keuangan Perangkat Daerah
2.07.01.2.06	Administrasi Umum Perangkat Daerah
2.07.01.2.07	Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah
2.07.01.2.08	Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah
2.07.01.2.09	Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah
3.32.03.2.01	Penataan Persebaran Penduduk yang Berasal dari 1 (Satu) Daerah Kabupaten/Kota
2.12.02.2.01	Pelayanan Pendaftaran Penduduk
2.12.02.2.02	Penataan Pendaftaran Penduduk
2.12.02.2.04	Pembinaan dan Pengawasan Penyelenggaraan Pendaftaran Penduduk
2.12.03.2.01	Pelayanan Pencatatan Sipil
2.12.03.2.02	Penyelenggaraan Pencatatan Sipil
2.12.04.2.01	Pengumpulan Data Kependudukan dan Pemanfaatan dan Penyajian Database Kependudukan
2.12.04.2.03	Penyelenggaraan Pengelolaan Informasi Administrasi Kependudukan
2.12.01.2.01	Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah
2.12.01.2.02	Administrasi Keuangan Perangkat Daerah
2.12.01.2.06	Administrasi Umum Perangkat Daerah
2.12.01.2.07	Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah
2.12.01.2.08	Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah
2.12.01.2.09	Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah
2.13.02.2.01	Penyelenggaraan Penataan Desa
2.13.03.2.01	Fasilitasi Kerja Sama antar Desa
2.13.04.2.01	Pembinaan dan Pengawasan Penyelenggaraan Administrasi Pemerintahan Desa
2.13.05.2.01	Pemberdayaan Lembaga Kemasyarakatan yang Bergerak di Bidang Pemberdayaan Desa dan Lembaga Adat Tingkat Daerah Kabupaten/Kota serta Pemberdayaan Masyarakat Hukum Adat yang Masyarakat Pelakunya Hukum Adat yang Sama dalam Daerah Kabupaten/Kota
2.13.01.2.01	Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah
2.13.01.2.02	Administrasi Keuangan Perangkat Daerah
2.13.01.2.06	Administrasi Umum Perangkat Daerah
2.13.01.2.07	Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah
2.13.01.2.08	Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah
2.13.01.2.09	Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah
2.14.02.2.01	Pemaduan dan Sinkronisasi Kebijakan Pemerintah Daerah Provinsi dengan Pemerintah Daerah Kabupaten/Kota dalam rangka Pengendalian Kuantitas Penduduk
2.14.02.2.02	Pemetaan Perkiraan Pengendalian Penduduk Cakupan Daerah Kabupaten/Kota
2.14.03.2.01	Pelaksanaan Advokasi, Komunikasi, Informasi dan Edukasi (KIE) Pengendalian Penduduk dan KB Sesuai Kearifan Budaya Lokal
2.14.03.2.02	Pendayagunaan Tenaga Penyuluh KB/Petugas Lapangan KB (PKB/PLKB)
2.14.03.2.03	Pengendalian dan Pendistribusian Kebutuhan Alat dan Obat Kontrasepsi serta Pelaksanaan Pelayanan KB di Daerah Kabupaten/Kota
2.14.03.2.04	Pemberdayaan dan Peningkatan Peran Serta Organisasi Kemasyarakatan Tingkat Daerah Kabupaten/Kota dalam Pelaksanaan Pelayanan dan Pembinaan Kesertaan Ber-KB
2.14.04.2.01	Pelaksanaan Pembangunan Keluarga Melalui Pembinaan Ketahanan dan Kesejahteraan Keluarga
2.14.04.2.02	Pelaksanaan dan Peningkatan Peran Serta Organisasi Kemasyarakatan Tingkat Daerah Kabupaten/ Kota dalam Pembangunan Keluarga Melalui Pembinaan Ketahanan dan Kesejahteraan Keluarga
2.15.02.2.01	Penetapan Rencana Induk Jaringan LLAJ Kabupaten/Kota
2.15.02.2.02	Penyediaan Perlengkapan Jalan di Jalan Kabupaten/Kota
2.15.02.2.03	Pengelolaan Terminal Penumpang Tipe C
2.15.02.2.04	Penerbitan Izin Penyelenggaraan dan Pembangunan Fasilitas Parkir
2.15.02.2.05	Pengujian Berkala Kendaraan Bermotor
2.15.02.2.06	Pelaksanaan Manajemen dan Rekayasa Lalu Lintas untuk Jaringan Jalan Kabupaten/Kota
2.15.02.2.07	Persetujuan Hasil Analisis Dampak Lalu Lintas (Andalalin) untuk Jalan Kabupaten/Kota
2.15.02.2.09	Penyediaan Angkutan Umum untuk Jasa Angkutan Orang dan/atau Barang Antar Kota dalam 1 (Satu) Daerah Kabupaten/Kota
2.15.02.2.12	Penetapan Rencana Umum Jaringan Trayek Pedesaan dalam 1 (Satu) Daerah Kabupaten/Kota
2.15.01.2.01	Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah
2.15.01.2.02	Administrasi Keuangan Perangkat Daerah
2.15.01.2.06	Administrasi Umum Perangkat Daerah
2.15.01.2.07	Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah
2.15.01.2.08	Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah
2.15.01.2.09	Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah
2.16.02.2.01	Pengelolaan Informasi dan Komunikasi Publik Pemerintah Daerah Kabupaten/Kota
2.16.03.2.01	Pengelolaan Nama Domain yang Telah Ditetapkan oleh Pemerintah Pusat dan Sub Domain di Lingkup Pemerintah Daerah Kabupaten/Kota
2.16.03.2.02	Pengelolaan E-government di Lingkup Pemerintah Daerah Kabupaten/Kota
2.16.01.2.01	Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah
2.16.01.2.02	Administrasi Keuangan Perangkat Daerah
2.16.01.2.06	Administrasi Umum Perangkat Daerah
2.16.01.2.07	Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah
2.16.01.2.08	Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah
2.16.01.2.09	Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah
2.20.02.2.01	Penyelenggaraan Statistik Sektoral di Lingkup Daerah Kabupaten/Kota
2.21.02.2.01	Penyelenggaraan Persandian untuk Pengamanan Informasi Pemerintah Daerah Kabupaten/Kota
2.18.02.2.02	Pembuatan Peta Potensi Investasi Kabupaten/Kota
2.18.03.2.01	Penyelenggaraan Promosi Penanaman Modal yang Menjadi Kewenangan Daerah Kabupaten/Kota
2.18.04.2.01	Pelayanan Perizinan dan Non Perizinan Secara Terpadu Satu Pintu dibidang Penanaman Modal yang Menjadi Kewenangan Daerah Kabupaten/ Kota
2.18.05.2.01	Pengendalian Pelaksanaan Penanaman Modal yang Menjadi Kewenangan Daerah Kabupaten/Kota
2.18.01.2.01	Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah
