1.01.02	PROGRAM PENGELOLAAN PENDIDIKAN
1.01.03	PROGRAM PENGEMBANGAN KURIKULUM
1.01.04	PROGRAM PENDIDIK DAN TENAGA KEPENDIDIKAN
1.01.05	PROGRAM PENGENDALIAN PERIZINAN PENDIDIKAN
1.01.06	PROGRAM PENGEMBANGAN BAHASA DAN SASTRA
1.02.02	PROGRAM PEMENUHAN UPAYA KESEHATAN PERORANGAN DAN UPAYA KESEHATAN MASYARAKAT
1.02.03	PROGRAM PENINGKATAN KAPASITAS SUMBER DAYA MANUSIA KESEHATAN
1.02.04	PROGRAM SEDIAAN FARMASI, ALAT KESEHATAN DAN MAKANAN MINUMAN
1.02.05	PROGRAM PEMBERDAYAAN MASYARAKAT BIDANG KESEHATAN
1.03.02	PROGRAM PENGELOLAAN SUMBER DAYA AIR (SDA)
1.03.03	PROGRAM PENGELOLAAN DAN PENGEMBANGAN SISTEM PENYEDIAAN AIR MINUM
1.03.04	PROGRAM PENGEMBANGAN SISTEM DAN PENGELOLAAN PERSAMPAHAN REGIONAL
1.03.05	PROGRAM PENGELOLAAN DAN PENGEMBANGAN SISTEM AIR LIMBAH
1.03.06	PROGRAM PENGELOLAAN DAN PENGEMBANGAN SISTEM DRAINASE
1.03.07	PROGRAM PENGEMBANGAN PERMUKIMAN
1.03.08	PROGRAM PENATAAN BANGUNAN GEDUNG
1.03.09	PROGRAM PENATAAN BANGUNAN DAN LINGKUNGANNYA
1.03.10	PROGRAM PENYELENGGARAAN JALAN
1.03.11	PROGRAM PENGEMBANGAN JASA KONSTRUKSI
1.03.12	PROGRAM PENYELENGGARAAN PENATAAN RUANG
1.04.02	PROGRAM PENGEMBANGAN PERUMAHAN
1.04.03	PROGRAM KAWASAN PERMUKIMAN
1.04.04	PROGRAM PERUMAHAN DAN KAWASAN PERMUKIMAN KUMUH
1.04.05	PROGRAM PENINGKATAN PRASARANA, SARANA DAN UTILITAS UMUM (PSU)
1.04.06	PROGRAM PENINGKATAN PELAYANAN SERTIFIKASI, KUALIFIKASI, KLASIFIKASI, DAN REGISTRASI BIDANG PERUMAHAN DAN KAWASAN PERMUKIMAN
1.05.02	PROGRAM PENINGKATAN KETENTERAMAN DAN KETERTIBAN UMUM
1.05.03	PROGRAM PENANGGULANGAN BENCANA
1.05.04	PROGRAM PENCEGAHAN, PENANGGULANGAN, PENYELAMATAN KEBAKARAN DAN PENYELAMATAN NON KEBAKARAN
1.06.02	PROGRAM PEMBERDAYAAN SOSIAL
1.06.03	PROGRAM PENANGANAN WARGA NEGARA MIGRAN KORBAN TINDAK KEKERASAN
1.06.04	PROGRAM REHABILITASI SOSIAL
1.06.05	PROGRAM PERLINDUNGAN DAN JAMINAN SOSIAL
1.06.06	PROGRAM PENANGANAN BENCANA
1.06.07	PROGRAM PENGELOLAAN TAMAN MAKAM PAHLAWAN
2.07.02	PROGRAM PERENCANAAN TENAGA KERJA
2.07.03	PROGRAM PELATIHAN KERJA DAN PRODUKTIVITAS TENAGA KERJA
2.07.04	PROGRAM PENEMPATAN TENAGA KERJA
2.07.05	PROGRAM HUBUNGAN INDUSTRIAL
2.08.02	PROGRAM PENGARUSUTAMAAN GENDER DAN PEMBERDAYAAN PEREMPUAN
2.08.03	PROGRAM PERLINDUNGAN PEREMPUAN
2.08.04	PROGRAM PENINGKATAN KUALITAS KELUARGA
2.08.05	PROGRAM PENGELOLAAN SISTEM DATA GENDER DAN ANAK
2.08.06	PROGRAM PEMENUHAN HAK ANAK (PHA)
2.08.07	PROGRAM PERLINDUNGAN KHUSUS ANAK
2.09.02	PROGRAM PENGELOLAAN SUMBER DAYA EKONOMI UNTUK KEDAULATAN DAN KEMANDIRIAN PANGAN
2.09.03	PROGRAM PENINGKATAN DIVERSIFIKASI DAN KETAHANAN PANGAN MASYARAKAT
2.09.04	PROGRAM PENANGANAN KERAWANAN PANGAN
2.09.05	PROGRAM PENGAWASAN KEAMANAN PANGAN
2.10.03	PROGRAM PENGADAAN TANAH UNTUK KEPENTINGAN UMUM
2.10.04	PROGRAM PENYELESAIAN SENGKETA TANAH GARAPAN
2.10.05	PROGRAM PENYELESAIAN GANTI KERUGIAN DAN SANTUNAN TANAH UNTUK PEMBANGUNAN
2.10.06	PROGRAM REDISTRIBUSI TANAH, DAN GANTI KERUGIAN PROGRAM TANAH KELEBIHAN MAKSIMUM DAN TANAH ABSENTEE
2.10.07	PROGRAM PENETAPAN TANAH ULAYAT
2.10.08	PROGRAM PENGELOLAAN TANAH KOSONG
2.10.09	PROGRAM PENGELOLAAN IZIN MEMBUKA TANAH
2.10.10	PROGRAM PENATAGUNAAN TANAH
2.10.12	PROGRAM PENGURUSAN HAK HAK ATAS TANAH
2.10.13	PROGRAM SURVEI, PENGUKURAN DAN PEMETAAN
2.10.14	PROGRAM PENGEMBANGAN DAN PEMBINAAN SDM DAN KELEMBAGAAN PERTANAHAN
2.10.15	PROGRAM PENGATURAN PERTANAHAN DI WILAYAH PESISIR, LAUT DAN PULAU
2.10.16	PROGRAM PENGELOLAAN SISTEM INFORMASI PERTANAHAN
2.10.17	PROGRAM PENANGANAN KONFLIK, SENGKETA DAN PERKARA PERTANAHAN
2.11.02	PROGRAM PERENCANAAN LINGKUNGAN HIDUP
2.11.03	PROGRAM PENGENDALIAN PENCEMARAN DAN/ATAU KERUSAKAN LINGKUNGAN HIDUP
2.11.04	PROGRAM PENGELOLAAN KEANEKARAGAMAN HAYATI (KEHATI)
2.11.05	PROGRAM PENGENDALIAN BAHAN BERBAHAYA DAN BERACUN (B3) DAN LIMBAH BAHAN BERBAHAYA DAN BERACUN (LIMBAH B3)
2.11.06	PROGRAM PEMBINAAN DAN PENGAWASAN TERHADAP IZIN LINGKUNGAN DAN IZIN PERLINDUNGAN DAN PENGELOLAAN LINGKUNGAN HIDUP (PPLH)
2.11.07	PROGRAM PENGAKUAN KEBERADAAN MASYARAKAT HUKUM ADAT (MHA), KEARIFAN LOKAL DAN HAK MHA YANG TERKAIT DENGAN PPLH
2.11.08	PROGRAM PENINGKATAN PENDIDIKAN, PELATIHAN DAN PENYULUHAN LINGKUNGAN HIDUP UNTUK MASYARAKAT
2.11.09	PROGRAM PENGHARGAAN LINGKUNGAN HIDUP UNTUK MASYARAKAT
2.11.10	PROGRAM PENANGANAN PENGADUAN LINGKUNGAN HIDUP
2.11.11	PROGRAM PENGELOLAAN PERSAMPAHAN
2.12.02	PROGRAM PENDAFTARAN PENDUDUK
2.12.03	PROGRAM PENCATATAN SIPIL
2.12.04	PROGRAM PENGELOLAAN INFORMASI ADMINISTRASI KEPENDUDUKAN
2.12.05	PROGRAM PENGELOLAAN PROFIL KEPENDUDUKAN
2.13.02	PROGRAM PENATAAN DESA
2.13.03	PROGRAM PENINGKATAN KERJA SAMA DESA
2.13.04	PROGRAM ADMINISTRASI PEMERINTAHAN DESA
2.13.05	PROGRAM PEMBERDAYAAN LEMBAGA KEMASYARAKATAN, LEMBAGA ADAT DAN MASYARAKAT HUKUM ADAT
2.14.02	PROGRAM PENGENDALIAN PENDUDUK
2.14.03	PROGRAM PEMBINAAN KELUARGA BERENCANA (KB)
2.14.04	PROGRAM PEMBERDAYAAN DAN PENINGKATAN KELUARGA SEJAHTERA (KS)
2.15.02	PROGRAM PENYELENGGARAAN LALU LINTAS DAN ANGKUTAN JALAN (LLAJ)
2.15.03	PROGRAM PENGELOLAAN PELAYARAN
2.15.04	PROGRAM PENGELOLAAN PENERBANGAN
2.15.05	PROGRAM PENGELOLAAN PERKERETAAPIAN
2.16.02	PROGRAM PENGELOLAAN INFORMASI DAN KOMUNIKASI PUBLIK
2.16.03	PROGRAM PENGELOLAAN APLIKASI INFORMATIKA
2.17.02	PROGRAM PELAYANAN IZIN USAHA SIMPAN PINJAM
2.17.03	PROGRAM PENGAWASAN DAN PEMERIKSAAN KOPERASI
2.17.04	PROGRAM PENILAIAN KESEHATAN KSP/USP KOPERASI
2.17.05	PROGRAM PENDIDIKAN DAN LATIHAN PERKOPERASIAN
2.17.06	PROGRAM PEMBERDAYAAN DAN PERLINDUNGAN KOPERASI
2.17.07	PROGRAM PEMBERDAYAAN USAHA MENENGAH, USAHA KECIL, DAN USAHA MIKRO (UMKM)
2.17.08	PROGRAM PENGEMBANGAN UMKM
2.17.09	PROGRAM PENGUATAN BADAN HUKUM KOPERASI
2.18.02	PROGRAM PENGEMBANGAN IKLIM PENANAMAN MODAL
2.18.03	PROGRAM PROMOSI PENANAMAN MODAL
2.18.04	PROGRAM PELAYANAN PENANAMAN MODAL
2.18.05	PROGRAM PENGENDALIAN PELAKSANAAN PENANAMAN MODAL
2.18.06	PROGRAM PENGELOLAAN DATA DAN SISTEM INFORMASI PENANAMAN MODAL
2.19.02	PROGRAM PENGEMBANGAN KAPASITAS DAYA SAING KEPEMUDAAN
2.19.03	PROGRAM PENGEMBANGAN KAPASITAS DAYA SAING KEOLAHRAGAAN
2.19.04	PROGRAM PENGEMBANGAN KAPASITAS KEPRAMUKAAN
2.20.02	PROGRAM PENYELENGGARAAN STATISTIK SEKTORAL
2.21.02	PROGRAM PENYELENGGARAAN PERSANDIAN UNTUK PENGAMANAN INFORMASI
2.22.02	PROGRAM PENGEMBANGAN KEBUDAYAAN
2.22.03	PROGRAM PENGEMBANGAN KESENIAN TRADISIONAL
2.22.04	PROGRAM PEMBINAAN SEJARAH
2.22.05	PROGRAM PELESTARIAN DAN PENGELOLAAN CAGAR BUDAYA
2.22.06	PROGRAM PENGELOLAAN PERMUSEUMAN
2.22.07	PROGRAM MAJELIS ADAT ACEH (MAA)
2.22.08	PROGRAM PENYELENGGARAAN KEISTIMEWAAN YOGYAKARTA URUSAN KEBUDAYAAN
2.23.02	PROGRAM PEMBINAAN PERPUSTAKAAN
2.23.03	PROGRAM PELESTARIAN KOLEKSI NASIONAL DAN NASKAH KUNO
2.24.02	PROGRAM PENGELOLAAN ARSIP
2.24.03	PROGRAM PERLINDUNGAN DAN PENYELAMATAN ARSIP
2.24.04	PROGRAM PERIZINAN PENGGUNAAN ARSIP
3.25.03	PROGRAM PENGELOLAAN PERIKANAN TANGKAP
3.25.04	PROGRAM PENGELOLAAN PERIKANAN BUDIDAYA
3.25.05	PROGRAM PENGAWASAN SUMBER DAYA KELAUTAN DAN PERIKANAN
3.25.06	PROGRAM PENGOLAHAN DAN PEMASARAN HASIL PERIKANAN
3.26.02	PROGRAM PENINGKATAN DAYA TARIK DESTINASI PARIWISATA
3.26.03	PROGRAM PEMASARAN PARIWISATA
3.26.04	PROGRAM PENGEMBANGAN EKONOMI KREATIF MELALUI PEMANFAATAN DAN PERLINDUNGAN HAK KEKAYAAN INTELEKTUAL
3.26.05	PROGRAM PENGEMBANGAN SUMBER DAYA PARIWISATA DAN EKONOMI KREATIF
3.27.02	PROGRAM PENYEDIAAN DAN PENGEMBANGAN SARANA PERTANIAN
3.27.03	PROGRAM PENYEDIAAN DAN PENGEMBANGAN PRASARANA PERTANIAN
3.27.04	PROGRAM PENGENDALIAN KESEHATAN HEWAN DAN KESEHATAN MASYARAKAT VETERINER
3.27.05	PROGRAM PENGENDALIAN DAN PENANGGULANGAN BENCANA PERTANIAN
3.27.06	PROGRAM PERIZINAN USAHA PERTANIAN
3.27.07	PROGRAM PENYULUHAN PERTANIAN
3.28.04	PROGRAM KONSERVASI SUMBER DAYA ALAM HAYATI DAN EKOSISTEMNYA
3.29.05	PROGRAM PENGELOLAAN ENERGI BARU TERBARUKAN
3.30.02	PROGRAM PERIZINAN DAN PENDAFTARAN PERUSAHAAN
3.30.03	PROGRAM PENINGKATAN SARANA DISTRIBUSI PERDAGANGAN
3.30.04	PROGRAM STABILISASI HARGA BARANG KEBUTUHAN POKOK DAN BARANG PENTING
3.30.05	PROGRAM PENGEMBANGAN EKSPOR
3.30.06	PROGRAM STANDARDISASI DAN PERLINDUNGAN KONSUMEN
3.30.07	PROGRAM PENGGUNAAN DAN PEMASARAN PRODUK DALAM NEGERI
3.31.02	PROGRAM PERENCANAAN DAN PEMBANGUNAN INDUSTRI
3.31.03	PROGRAM PENGENDALIAN IZIN USAHA INDUSTRI
3.31.04	PROGRAM PENGELOLAAN SISTEM INFORMASI INDUSTRI NASIONAL
3.32.02	PROGRAM PERENCANAAN KAWASAN TRANSMIGRASI
3.32.03	PROGRAM PEMBANGUNAN KAWASAN TRANSMIGRASI
3.32.04	PROGRAM PENGEMBANGAN KAWASAN TRANSMIGRASI
4.01.02	PROGRAM PEMERINTAHAN DAN KESEJAHTERAAN RAKYAT
4.01.03	PROGRAM PEREKONOMIAN DAN PEMBANGUNAN
4.02.02	PROGRAM DUKUNGAN PELAKSANAAN TUGAS DAN FUNGSI DPRD
5.01.02	PROGRAM PERENCANAAN, PENGENDALIAN DAN EVALUASI PEMBANGUNAN DAERAH
5.01.03	PROGRAM KOORDINASI DAN SINKRONISASI PERENCANAAN PEMBANGUNAN DAERAH
5.02.02	PROGRAM PENGELOLAAN KEUANGAN DAERAH
5.02.03	PROGRAM PENGELOLAAN BARANG MILIK DAERAH
5.02.04	PROGRAM PENGELOLAAN PENDAPATAN DAERAH
5.03.02	PROGRAM KEPEGAWAIAN DAERAH
5.04.02	PROGRAM PENGEMBANGAN SUMBER DAYA MANUSIA
5.05.02	PROGRAM PENELITIAN DAN PENGEMBANGAN DAERAH
5.05.03	PROGRAM RISET DAN INOVASI DAERAH
5.06.02	PROGRAM PENGELOLAAN PERBATASAN
5.06.03	PENGELOLAAN PERBATASAN NEGARA
6.01.02	PROGRAM PENYELENGGARAAN PENGAWASAN
6.01.03	PROGRAM PERUMUSAN KEBIJAKAN, PENDAMPINGAN DAN ASISTENSI
7.01.02	PROGRAM PENYELENGGARAAN PEMERINTAHAN DAN PELAYANAN PUBLIK
7.01.03	PROGRAM PEMBERDAYAAN MASYARAKAT DESA DAN KELURAHAN
7.01.04	PROGRAM KOORDINASI KETENTRAMAN DAN KETERTIBAN UMUM
7.01.05	PROGRAM PENYELENGGARAAN URUSAN PEMERINTAHAN UMUM
7.01.06	PROGRAM PEMBINAAN DAN PENGAWASAN PEMERINTAHAN DESA
8.01.02	PROGRAM PENGUATAN IDEOLOGI PANCASILA DAN KARAKTER KEBANGSAAN
8.01.03	PROGRAM PENINGKATAN PERAN PARTAI POLITIK DAN LEMBAGA PENDIDIKAN MELALUI PENDIDIKAN POLITIK DAN PENGEMBANGAN ETIKA SERTA BUDAYA POLITIK
